date,underlying,volume,open,high,low
07-26 09:56:41:902591,194.5181,2,193.67,194.72,193.32
07-26 09:56:42:951138,194.5181,2,193.67,194.72,193.32
07-26 09:56:43:912121,194.5181,2,193.67,194.72,193.32
07-26 09:56:44:901961,194.5296,2,193.67,194.72,193.32
07-26 09:56:45:906648,194.52,1,193.67,194.72,193.32
07-26 09:56:46:903403,194.52,1,193.67,194.72,193.32
07-26 09:56:47:913153,194.515,60,193.67,194.72,193.32
07-26 09:56:48:952846,194.53,1,193.67,194.72,193.32
07-26 09:56:49:917227,194.5117,1,193.67,194.72,193.32
07-26 09:56:50:969824,194.513,1,193.67,194.72,193.32
07-26 09:56:51:960137,194.52,1,193.67,194.72,193.32
07-26 09:56:52:927191,194.5187,1,193.67,194.72,193.32
07-26 09:56:53:937338,194.515,2,193.67,194.72,193.32
07-26 09:56:54:936054,194.52,1,193.67,194.72,193.32
07-26 09:56:55:932292,194.52,1,193.67,194.72,193.32
07-26 09:56:56:986137,194.5189,1,193.67,194.72,193.32
07-26 09:56:57:986337,194.53,1,193.67,194.72,193.32
07-26 09:56:58:949070,194.54,1,193.67,194.72,193.32
07-26 09:56:59:957103,194.54,1,193.67,194.72,193.32
07-26 09:57:00:995132,194.55,1,193.67,194.72,193.32
07-26 09:57:01:954858,194.53,1,193.67,194.72,193.32
07-26 09:57:02:966788,194.54,5,193.67,194.72,193.32
07-26 09:57:04:003643,194.5331,1,193.67,194.72,193.32
07-26 09:57:04:963593,194.53,1,193.67,194.72,193.32
07-26 09:57:05:966934,194.54,1,193.67,194.72,193.32
07-26 09:57:06:966801,194.54,1,193.67,194.72,193.32
07-26 09:57:07:972499,194.52,10,193.67,194.72,193.32
07-26 09:57:08:970077,194.53,1,193.67,194.72,193.32
07-26 09:57:09:968619,194.51,1,193.67,194.72,193.32
07-26 09:57:10:964692,194.51,3,193.67,194.72,193.32
07-26 09:57:11:960830,194.52,5,193.67,194.72,193.32
07-26 09:57:13:013292,194.52,2,193.67,194.72,193.32
07-26 09:57:13:973652,194.52,2,193.67,194.72,193.32
07-26 09:57:14:981635,194.51,1,193.67,194.72,193.32
07-26 09:57:15:983237,194.47,1,193.67,194.72,193.32
07-26 09:57:16:988840,194.47,1,193.67,194.72,193.32
07-26 09:57:18:026105,194.45,10,193.67,194.72,193.32
07-26 09:57:19:028302,194.405,1,193.67,194.72,193.32
07-26 09:57:20:041023,194.37,1,193.67,194.72,193.32
07-26 09:57:21:003550,194.38,8,193.67,194.72,193.32
07-26 09:57:22:005323,194.41,2,193.67,194.72,193.32
07-26 09:57:23:046613,194.4,1,193.67,194.72,193.32
07-26 09:57:24:044850,194.4,5,193.67,194.72,193.32
07-26 09:57:25:007835,194.3984,1,193.67,194.72,193.32
07-26 09:57:26:006362,194.405,1,193.67,194.72,193.32
07-26 09:57:27:026705,194.41,1,193.67,194.72,193.32
07-26 09:57:28:007418,194.43,16,193.67,194.72,193.32
07-26 09:57:29:010192,194.43,16,193.67,194.72,193.32
07-26 09:57:30:009232,194.42,1,193.67,194.72,193.32
07-26 09:57:31:045681,194.432,2,193.67,194.72,193.32
07-26 09:57:32:024878,194.46,1,193.67,194.72,193.32
07-26 09:57:33:019936,194.45,1,193.67,194.72,193.32
07-26 09:57:34:065731,194.45,1,193.67,194.72,193.32
07-26 09:57:35:070377,194.45,1,193.67,194.72,193.32
07-26 09:57:36:076318,194.45,1,193.67,194.72,193.32
07-26 09:57:37:040419,194.4499,1,193.67,194.72,193.32
07-26 09:57:38:066349,194.435,1,193.67,194.72,193.32
07-26 09:57:39:052129,194.42,1,193.67,194.72,193.32
07-26 09:57:40:087218,194.43,1,193.67,194.72,193.32
07-26 09:57:41:054360,194.425,1,193.67,194.72,193.32
07-26 09:57:42:065928,194.435,1,193.67,194.72,193.32
07-26 09:57:43:104554,194.46,1,193.67,194.72,193.32
07-26 09:57:44:104370,194.45,1,193.67,194.72,193.32
07-26 09:57:45:080378,194.45,1,193.67,194.72,193.32
07-26 09:57:46:103284,194.455,2,193.67,194.72,193.32
07-26 09:57:47:086009,194.45,1,193.67,194.72,193.32
07-26 09:57:48:085233,194.4799,1,193.67,194.72,193.32
07-26 09:57:49:095966,194.4799,1,193.67,194.72,193.32
07-26 09:57:50:090239,194.4702,1,193.67,194.72,193.32
07-26 09:57:51:087918,194.4432,2,193.67,194.72,193.32
07-26 09:57:52:094485,194.41,1,193.67,194.72,193.32
07-26 09:57:53:107168,194.41,2,193.67,194.72,193.32
07-26 09:57:54:238327,194.41,1,193.67,194.72,193.32
07-26 09:57:55:104888,194.39,2,193.67,194.72,193.32
07-26 09:57:56:111032,194.4003,4,193.67,194.72,193.32
07-26 09:57:57:152025,194.4,1,193.67,194.72,193.32
07-26 09:57:58:115923,194.4,3,193.67,194.72,193.32
07-26 09:57:59:149166,194.3899,1,193.67,194.72,193.32
07-26 09:58:00:108574,194.37,1,193.67,194.72,193.32
07-26 09:58:01:116156,194.37,1,193.67,194.72,193.32
07-26 09:58:02:168742,194.41,1,193.67,194.72,193.32
07-26 09:58:03:166791,194.3803,1,193.67,194.72,193.32
07-26 09:58:04:139065,194.38,2,193.67,194.72,193.32
07-26 09:58:05:146192,194.38,2,193.67,194.72,193.32
07-26 09:58:06:143144,194.41,1,193.67,194.72,193.32
07-26 09:58:07:144744,194.42,1,193.67,194.72,193.32
07-26 09:58:08:138423,194.39,1,193.67,194.72,193.32
07-26 09:58:09:181390,194.4,1,193.67,194.72,193.32
07-26 09:58:10:139731,194.4094,10,193.67,194.72,193.32
07-26 09:58:11:144832,194.4,1,193.67,194.72,193.32
07-26 09:58:12:198963,194.425,5,193.67,194.72,193.32
07-26 09:58:13:154238,194.4393,1,193.67,194.72,193.32
07-26 09:58:14:205823,194.425,3,193.67,194.72,193.32
07-26 09:58:15:173253,194.425,1,193.67,194.72,193.32
07-26 09:58:16:200962,194.41,1,193.67,194.72,193.32
